"date","regime","workout","squat","bench_press","press","cable_rows","pull_ups","chin_ups","power_clean","deadlift","bodyweight"
2021-03-09,"Starting strength","A",60,70,NA,55,NA,NA,NA,80,NA
2021-03-11,"Starting strength","B",65,NA,40,NA,"5/5/5",NA,NA,85,NA
2021-03-13,"Starting strength","A",40,72.5,NA,NA,NA,"6/6/6",NA,87,NA
2021-03-16,"Starting strength","B",42,NA,42,60,NA,NA,30,NA,NA
2021-03-18,"Starting strength","A",44,74,NA,NA,"6/5/5",NA,NA,89,NA
2021-03-20,"Starting strength","B",47,NA,44,NA,NA,"7/6/6",40,NA,NA
